Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,USD,51.7680141744,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,USD,46.2964703146,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,USD,45.3664724964,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,USD,44.7335028141,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,USD,45.0528007750,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,USD,49.6186552604,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,USD,50.9810261517,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,USD,56.0422726109,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,USD,63.2976987216,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,USD,73.3071697633,E
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,USD,82.1480602515,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,USD,82.0534747506,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,USD,81.4184579373,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,USD,79.9490758975,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,USD,92.7067505123,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,USD,97.0105971226,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,USD,102.2576625649,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,USD,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,USD,102.3459427594,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,USD,108.0991409613,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,USD,115.0218268425,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,USD,119.0811776693,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2020,2020,USD,119.7388516388,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2021,2021,USD,121.2931167342,E
