year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2015,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,2577.0,90.0,64.36,26.97
2015,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,4818.0,90.0,64.36,26.97
2015,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,65.63,1.0,64.36,26.97
2007,Nov,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,36.93,1.0,57.05,24.88
2007,Nov,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,3450.0,90.0,57.05,24.88
2007,Nov,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,9.0,1.0,57.05,24.88
2007,Nov,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,1500.0,90.0,57.05,24.88
2007,Nov,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,40.0,1.0,57.05,24.88
2007,Nov,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,18.0,1.0,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,31.0,0.4,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,13.68,1.0,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,1235.45,90.0,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,1800.0,90.0,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,23.0,0.5,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,135.0,1.0,57.05,24.88
2007,Nov,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,35.42,1.0,57.05,24.88
2007,Nov,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,26.0,1.0,57.05,24.88
2007,Nov,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,1306.67,90.0,57.05,24.88
2007,Nov,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,1015.87,50.0,57.05,24.88
2007,Nov,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,1426.67,90.0,57.05,24.88
2007,Nov,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,43.95,1.0,57.05,24.88
2007,Nov,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,4000.0,90.0,57.05,24.88
2007,Nov,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,27.0,1.0,57.05,24.88
2007,Nov,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,13.54,1.0,57.05,24.88
2007,Nov,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,879.08,50.0,57.05,24.88
2007,Nov,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,1200.0,90.0,57.05,24.88
2007,Nov,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,48.86,1.0,57.05,24.88
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),cereals and tubers,"Maize (white, dry)",90 KG,3150.0,90.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),cereals and tubers,"Potatoes (Irish, red)",50 KG,3500.0,50.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),pulses and nuts,Beans (dolichos),90 KG,4500.0,90.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),pulses and nuts,Cowpeas,90 KG,4500.0,90.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),vegetables and fruits,Cabbage,126 KG,3465.0,126.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),vegetables and fruits,Kale,50 KG,1500.0,50.0,58.11,25.35
2024,Aug,Eastern,Makueni,Kathonzweni (Makueni),vegetables and fruits,Tomatoes,64 KG,1920.0,64.0,58.11,25.35
2024,Aug,Nairobi,Nairobi,Wakulima (Nairobi),vegetables and fruits,Cabbage,126 KG,4087.0,126.0,58.11,25.35
2024,Aug,Nairobi,Nairobi,Wakulima (Nairobi),vegetables and fruits,Kale,50 KG,1667.0,50.0,58.11,25.35
2024,Aug,Nairobi,Nairobi,Wakulima (Nairobi),vegetables and fruits,Onions (dry),13 KG,718.0,13.0,58.11,25.35
