year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,5,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,6824.0,339.76,75.82,4.341465022917759
2014,5,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,56.0,339.76,56.0,4.04305126783455
2014,5,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,35.09,339.76,35.09,3.586015818654697
2014,5,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3733.0,339.76,41.48,3.749033376933683
2014,5,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,339.76,40.0,3.713572066704308
2014,5,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,84.88,339.76,84.88,4.45295097301058
2014,5,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,7829.0,339.76,86.99,4.477223171657469
2014,5,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,34.73,339.76,34.73,3.5759906720353185
2014,5,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,35.73,339.76,35.73,3.6035938598315758
2014,5,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2073.88,339.76,41.48,3.749033376933683
2014,5,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,94.22,339.76,94.22,4.556190003766373
2014,5,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,8529.0,339.76,94.77,4.561949483533528
2014,6,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,42.95,359.62,42.95,3.783052624131186
2014,6,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,3288.0,359.62,36.53,3.6251406131469297
2014,6,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,5191.0,359.62,57.68,4.072098953274781
2014,6,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,38.0,359.62,38.0,3.6635616461296463
2014,6,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2361.11,359.62,47.22,3.875773872753025
2014,6,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,46.88,359.62,117.2,4.772378104971998
2014,6,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,4013.0,359.62,44.59,3.8196883942253503
2014,6,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,43.63,359.62,87.26,4.4802870038414015
2014,6,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,200.0,359.62,200.0,5.303304908059076
2014,6,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,6450.0,359.62,71.67,4.2859286446285445
2014,6,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,57.0,359.62,57.0,4.060443010546419
2014,6,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,37.89,359.62,37.89,3.660737148167656
2014,6,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3929.0,359.62,43.66,3.799078246412012
2014,6,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3714.0,359.62,41.27,3.7440776145786985
2014,6,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,87.88,359.62,87.88,4.487287145331375
2014,6,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,7657.0,359.62,85.08,4.455277096413474
2014,6,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,34.72,359.62,34.72,3.575710756008298
2014,6,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,Wholesale,63.31,359.62,63.31,4.163715140146772
2014,6,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,36.4,359.62,36.4,3.6216707044204863
2014,6,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,3100.0,359.62,34.44,3.56784112573688
2014,6,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1423.88,359.62,28.48,3.383712067321136
2014,6,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,6750.0,359.62,75.0,4.330733340286331
2014,6,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,85.67,359.62,85.67,4.462107803146254
2014,7,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,39.5,282.76,39.5,3.7013019741124933
2014,7,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,5035.71,282.76,55.95,4.0421736898931915
2014,7,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,282.76,40.0,3.713572066704308
2014,7,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,77.0,282.76,77.0,4.356708826689592
