province,district,market,latitude,longitude,commodity,unit,priceflag,price,year,month,milk and dairy,pulses and nuts,non-food,"meat, fish and eggs",#item+type,vegetables and fruits,oil and fats,cereals and tubers,miscellaneous food
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,KG,actual,16.96,2006,6,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Sorghum,90 KG,actual,1978.07,2006,6,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,"Milk (cow, pasteurized)",500 ML,actual,22.0,2006,6,1,0,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,120.0,2006,6,0,0,0,0,0,0,1,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,KG,actual,33.07,2006,6,0,1,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans (dry),90 KG,actual,3017.0,2006,6,0,1,0,0,0,0,0,0,0
North Eastern,Mandera,Mandera,3.936804,41.858383,Maize (white),KG,actual,22.0,2006,6,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,KG,actual,19.3,2006,6,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize (white),90 KG,actual,1714.0,2006,6,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Sorghum,90 KG,actual,1220.0,2006,6,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,KG,actual,38.51,2006,6,0,1,0,0,0,0,0,0,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans (dry),90 KG,actual,3340.0,2006,6,0,1,0,0,0,0,0,0,0
Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize (white),KG,actual,27.0,2006,6,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,KG,actual,17.03,2006,6,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize (white),90 KG,actual,1549.0,2006,6,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes (Irish),50 KG,actual,450.61,2006,6,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans (dry),90 KG,actual,2978.0,2006,6,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,KG,actual,19.92,2006,7,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,KG,actual,30.15,2006,7,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,2750.0,2006,7,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Maize (white),KG,actual,22.0,2006,7,0,0,0,0,0,0,0,1,0
Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize (white),KG,actual,21.0,2006,7,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,26.0,2006,7,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize (white),90 KG,actual,1690.67,2006,7,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Sorghum,90 KG,actual,1680.0,2006,7,0,0,0,0,0,0,0,1,0
North Eastern,Mandera,Mandera,3.936804,41.858383,Maize (white),KG,actual,23.0,2006,7,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,KG,actual,17.26,2006,7,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize (white),90 KG,actual,1533.33,2006,7,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes (Irish),50 KG,actual,455.55,2006,7,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Sorghum,90 KG,actual,1450.0,2006,7,0,0,0,0,0,0,0,1,0
