date,region,county,market,category,commodity,unit,pricetype,price
12/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1400
12/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,40.76
12/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,2600
1/15/2007,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,11.66
1/15/2007,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1061.9
1/15/2007,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,33.17
1/15/2007,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,3000
1/15/2007,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,37
1/15/2007,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,16
1/15/2007,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,27
1/15/2007,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1337.5
1/15/2007,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1402.77
1/15/2007,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,130
1/15/2007,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,3107
1/15/2007,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,15.47
1/15/2007,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1400
1/15/2007,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,850.42
