year,month,commodity,category,normalized_price
2019,8,Beans (dry),pulses and nuts,94.44
2018,4,Beans (dry),pulses and nuts,113.0
2016,10,Beans (dry),pulses and nuts,80.0
2016,10,Beans (dry),pulses and nuts,98.0
2019,8,Beans (dry),pulses and nuts,126.3
2016,10,Beans (dry),pulses and nuts,92.0
2019,8,Beans (dry),pulses and nuts,102.22
2018,4,Beans (dry),pulses and nuts,100.0
2019,8,Beans (dry),pulses and nuts,89.67
2018,2,Beans (dry),pulses and nuts,100.0
2016,10,Beans (dry),pulses and nuts,76.25
2019,8,Beans (dry),pulses and nuts,86.67
2016,7,Beans (dry),pulses and nuts,75.0
2016,7,Beans (dry),pulses and nuts,66.43
2020,12,Beans (dry),pulses and nuts,94.0
2016,2,Beans (dry),pulses and nuts,75.22
2016,3,Beans (dry),pulses and nuts,84.0
2020,3,Beans (dry),pulses and nuts,88.89
2020,3,Beans (dry),pulses and nuts,110.0
2020,1,Beans (dry),pulses and nuts,91.67
2020,4,Beans (dry),pulses and nuts,106.0
2016,3,Beans (dry),pulses and nuts,72.0
2020,4,Beans (dry),pulses and nuts,86.0
2020,1,Beans (dry),pulses and nuts,107.0
2019,12,Beans (dry),pulses and nuts,55.56
2016,3,Beans (dry),pulses and nuts,66.22
2020,4,Beans (dry),pulses and nuts,121.51
2020,5,Beans (dry),pulses and nuts,99.3
2019,12,Beans (dry),pulses and nuts,105.0
2020,5,Beans (dry),pulses and nuts,125.2
2016,2,Beans (dry),pulses and nuts,64.72
2016,3,Beans (dry),pulses and nuts,86.76
2020,3,Beans (dry),pulses and nuts,114.2
2020,3,Beans (dry),pulses and nuts,100.0
2020,1,Beans (dry),pulses and nuts,91.0
2020,1,Beans (dry),pulses and nuts,124.0
2016,1,Beans (dry),pulses and nuts,77.78
2016,2,Beans (dry),pulses and nuts,87.0
2016,2,Beans (dry),pulses and nuts,71.11
2020,2,Beans (dry),pulses and nuts,111.0
2016,2,Beans (dry),pulses and nuts,74.0
2020,1,Beans (dry),pulses and nuts,94.31
2016,2,Beans (dry),pulses and nuts,64.17
2020,2,Beans (dry),pulses and nuts,93.0
2020,2,Beans (dry),pulses and nuts,105.0
2016,2,Beans (dry),pulses and nuts,76.22
2016,2,Beans (dry),pulses and nuts,97.0
2016,2,Beans (dry),pulses and nuts,73.0
2020,3,Beans (dry),pulses and nuts,104.1
2020,3,Beans (dry),pulses and nuts,78.0
2019,12,Beans (dry),pulses and nuts,115.0
2016,3,Beans (dry),pulses and nuts,85.2
2016,4,Beans (dry),pulses and nuts,71.0
2020,9,Beans (dry),pulses and nuts,107.0
2020,9,Beans (dry),pulses and nuts,101.0
2016,5,Beans (dry),pulses and nuts,68.06
2020,10,Beans (dry),pulses and nuts,105.9
2016,5,Beans (dry),pulses and nuts,90.0
2020,10,Beans (dry),pulses and nuts,85.0
2019,11,Beans (dry),pulses and nuts,88.0
2016,6,Beans (dry),pulses and nuts,73.0
2020,11,Beans (dry),pulses and nuts,103.9
2016,6,Beans (dry),pulses and nuts,64.7
2020,11,Beans (dry),pulses and nuts,94.0
2020,11,Beans (dry),pulses and nuts,100.0
2019,11,Beans (dry),pulses and nuts,108.89
2020,12,Beans (dry),pulses and nuts,106.3
2016,6,Beans (dry),pulses and nuts,90.0
2016,5,Beans (dry),pulses and nuts,83.0
2020,9,Beans (dry),pulses and nuts,104.5
2016,5,Beans (dry),pulses and nuts,88.89
2020,8,Beans (dry),pulses and nuts,120.0
